UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
112127,10,54,20,34,13,7,6,41,13,28
112172,10,9915,4419,5496,4048,1917,2131,5867,2502,3365
112181,10,110,3,107,91,2,89,19,1,18
112190,10,17808,8209,9599,5314,2767,2547,12494,5442,7052
112251,10,1763,721,1042,997,426,571,766,295,471
112260,10,1384,688,696,1380,684,696,4,4,0
112288,10,632,18,614,632,18,614,,,
112367,10,331,39,292,71,6,65,260,33,227
112385,10,8576,4892,3684,634,296,338,7942,4596,3346
112394,10,392,291,101,294,218,76,98,73,25
112455,10,100,32,68,100,32,68,,,
112525,10,3625,1332,2293,3594,1325,2269,31,7,24
112561,10,2594,1176,1418,744,342,402,1850,834,1016
112570,10,149,84,65,21,12,9,128,72,56
112686,10,4765,1848,2917,987,397,590,3778,1451,2327
112826,10,5997,2406,3591,1539,697,842,4458,1709,2749
113096,10,14980,6618,8362,3574,1735,1839,11406,4883,6523
113111,10,6097,2753,3344,1640,771,869,4457,1982,2475
113193,10,10437,5154,5283,2856,1435,1421,7581,3719,3862
113218,10,8437,3811,4626,1985,1001,984,6452,2810,3642
113236,10,13992,5978,8014,5206,2357,2849,8786,3621,5165
113333,10,16990,8665,8325,6141,3382,2759,10849,5283,5566
113449,10,173,46,127,173,46,127,,,
113573,10,10764,4623,6141,3717,1655,2062,7047,2968,4079
113582,10,111,8,103,89,7,82,22,1,21
113634,10,16424,8135,8289,6243,3360,2883,10181,4775,5406
113698,10,2026,574,1452,1786,512,1274,240,62,178
113704,10,66,58,8,43,42,1,23,16,7
113856,10,30321,15270,15051,5134,2358,2776,25187,12912,12275
113980,10,21599,10337,11262,7509,3697,3812,14090,6640,7450
114114,10,181,33,148,92,19,73,89,14,75
114123,10,48,15,33,47,15,32,1,0,1
114266,10,8989,4104,4885,2121,1022,1099,6868,3082,3786
114354,10,1366,216,1150,973,148,825,393,68,325
114433,10,1758,818,940,451,223,228,1307,595,712
114460,10,245,19,226,140,10,130,105,9,96
114549,10,937,184,753,762,146,616,175,38,137
114585,10,289,61,228,179,41,138,110,20,90
114637,10,52,4,48,52,4,48,,,
114716,10,12931,6753,6178,2645,1296,1349,10286,5457,4829
114734,10,69,40,29,15,12,3,54,28,26
114761,10,67,5,62,67,5,62,,,
114789,10,25285,11546,13739,6666,2919,3747,18619,8627,9992
114813,10,2921,752,2169,1598,476,1122,1323,276,1047
114840,10,1935,1025,910,392,160,232,1543,865,678
114859,10,18569,8698,9871,7295,3629,3666,11274,5069,6205
114938,10,5484,2573,2911,1724,780,944,3760,1793,1967
114947,10,308,147,161,308,147,161,,,
115001,10,11176,5224,5952,5785,2790,2995,5391,2434,2957
115010,10,854,214,640,854,214,640,,,
115083,10,2262,1421,841,1486,1012,474,776,409,367
115126,10,10433,4909,5524,2844,1436,1408,7589,3473,4116
115214,10,178,89,89,124,72,52,54,17,37
115296,10,13591,5770,7821,4524,2078,2446,9067,3692,5375
115357,10,173,32,141,72,14,58,101,18,83
115393,10,8478,3953,4525,2870,1373,1497,5608,2580,3028
115409,10,949,487,462,911,458,453,38,29,9
115658,10,79,4,75,35,1,34,44,3,41
115746,10,882,229,653,615,160,455,267,69,198
115755,10,6156,2672,3484,5272,2300,2972,884,372,512
115773,10,575,163,412,347,131,216,228,32,196
115861,10,8111,3607,4504,3649,1597,2052,4462,2010,2452
115931,10,609,506,103,609,506,103,,,
116226,10,107,8,99,54,4,50,53,4,49
116439,10,11994,6191,5803,4486,2454,2032,7508,3737,3771
116563,10,205,6,199,205,6,199,,,
116846,10,209,50,159,100,21,79,109,29,80
117052,10,8174,3699,4475,2022,1082,940,6152,2617,3535
117104,10,504,230,274,436,192,244,68,38,30
117140,10,5596,2009,3587,4303,1583,2720,1293,426,867
117168,10,807,211,596,717,189,528,90,22,68
117195,10,3376,2184,1192,767,378,389,2609,1806,803
117238,10,131,31,100,131,31,100,,,
117247,10,10211,4784,5427,1771,939,832,8440,3845,4595
117274,10,1783,1141,642,431,223,208,1352,918,434
117283,10,78,32,46,25,10,15,53,22,31
117520,10,613,345,268,585,330,255,28,15,13
117557,10,474,310,164,472,308,164,2,2,0
117575,10,138,74,64,58,22,36,80,52,28
117627,10,1611,674,937,1344,578,766,267,96,171
117636,10,4202,1420,2782,3378,1238,2140,824,182,642
117645,10,24425,10787,13638,9471,4379,5092,14954,6408,8546
117672,10,1987,736,1251,1266,562,704,721,174,547
117690,10,8898,3656,5242,1479,673,806,7419,2983,4436
117706,10,16186,7484,8702,4208,2033,2175,11978,5451,6527
117715,10,5267,1911,3356,479,171,308,4788,1740,3048
117724,10,12655,7392,5263,2755,1752,1003,9900,5640,4260
117733,10,15733,6901,8832,3083,1443,1640,12650,5458,7192
117751,10,2799,1766,1033,1518,886,632,1281,880,401
117788,10,14076,6165,7911,2767,1332,1435,11309,4833,6476
117803,10,220,66,154,,,,220,66,154
117867,10,10425,4399,6026,1731,751,980,8694,3648,5046
117894,10,8230,3549,4681,2903,1303,1600,5327,2246,3081
117946,10,10256,4515,5741,9379,4168,5211,877,347,530
117955,10,277,68,209,193,47,146,84,21,63
118134,10,96,1,95,52,1,51,44,0,44
118143,10,77,3,74,8,1,7,69,2,67
118161,10,114,3,111,114,3,111,,,
118198,10,1025,216,809,896,186,710,129,30,99
118347,10,4673,2033,2640,1206,603,603,3467,1430,2037
118684,10,4032,1395,2637,850,297,553,3182,1098,2084
118693,10,840,484,356,818,470,348,22,14,8
118718,10,11835,4831,7004,4847,2039,2808,6988,2792,4196
118772,10,6716,2460,4256,1023,372,651,5693,2088,3605
118888,10,658,331,327,658,331,327,,,
118912,10,11707,4980,6727,4355,2013,2342,7352,2967,4385
118930,10,6669,3092,3577,1566,745,821,5103,2347,2756
118958,10,62,20,42,42,12,30,20,8,12
118976,10,17152,6742,10410,5784,2412,3372,11368,4330,7038
118994,10,335,185,150,335,185,150,,,
119058,10,503,147,356,391,114,277,112,33,79
119067,10,7351,3291,4060,2132,1014,1118,5219,2277,2942
119137,10,14091,6622,7469,4832,2480,2352,9259,4142,5117
119164,10,28742,13517,15225,10020,5057,4963,18722,8460,10262
119173,10,2308,260,2048,2032,221,1811,276,39,237
119216,10,17215,6884,10331,6210,2687,3523,11005,4197,6808
119270,10,812,577,235,581,418,163,231,159,72
119331,10,4213,1743,2470,1279,558,721,2934,1185,1749
119553,10,1134,317,817,1113,311,802,21,6,15
119605,10,19924,7582,12342,10383,3786,6597,9541,3796,5745
119678,10,2600,2075,525,1478,1215,263,1122,860,262
119775,10,280,165,115,234,136,98,46,29,17
119951,10,213,13,200,213,13,200,,,
120069,10,315,53,262,315,53,262,,,
120078,10,635,90,545,635,90,545,,,
120087,10,225,49,176,225,49,176,,,
120166,10,328,166,162,325,166,159,3,0,3
120184,10,237,60,177,85,17,68,152,43,109
120254,10,1854,763,1091,1826,753,1073,28,10,18
120290,10,8375,4390,3985,2970,1595,1375,5405,2795,2610
120342,10,17085,8527,8558,6527,3422,3105,10558,5105,5453
120403,10,1284,395,889,1256,384,872,28,11,17
120421,10,6911,3240,3671,1773,854,919,5138,2386,2752
120537,10,1140,410,730,839,302,537,301,108,193
120661,10,178,26,152,178,26,152,,,
120698,10,1223,195,1028,953,138,815,270,57,213
120768,10,1051,135,916,33,8,25,1018,127,891
120795,10,128,49,79,41,20,21,87,29,58
120838,10,40,21,19,40,21,19,,,
120865,10,938,348,590,718,280,438,220,68,152
120883,10,6755,2845,3910,5895,2517,3378,860,328,532
120953,10,3461,2877,584,667,476,191,2794,2401,393
120971,10,18815,10205,8610,6053,3284,2769,12762,6921,5841
121044,10,23592,11006,12586,8718,4317,4401,14874,6689,8185
121150,10,9545,3173,6372,5953,2245,3708,3592,928,2664
121257,10,1204,485,719,1175,472,703,29,13,16
121309,10,4494,1471,3023,3333,1121,2212,1161,350,811
121345,10,1664,752,912,1646,738,908,18,14,4
121363,10,4939,1967,2972,1472,600,872,3467,1367,2100
121433,10,90,4,86,89,4,85,1,0,1
121619,10,26073,15308,10765,4276,2220,2056,21797,13088,8709
121628,10,131,77,54,131,77,54,,,
121637,10,101,12,89,100,12,88,1,0,1
121691,10,3192,1276,1916,2786,1097,1689,406,179,227
121707,10,4260,2150,2110,1367,708,659,2893,1442,1451
121859,10,238,9,229,129,7,122,109,2,107
121868,10,216,1,215,97,0,97,119,1,118
121886,10,17193,9751,7442,4596,2373,2223,12597,7378,5219
121901,10,20437,8466,11971,5534,2418,3116,14903,6048,8855
122117,10,93,26,67,47,15,32,46,11,35
122180,10,19031,7870,11161,4416,1996,2420,14615,5874,8741
122205,10,18370,8379,9991,5722,3005,2717,12648,5374,7274
122296,10,1894,414,1480,1355,324,1031,539,90,449
122339,10,13197,6060,7137,2034,941,1093,11163,5119,6044
122375,10,19243,8751,10492,4104,2021,2083,15139,6730,8409
122384,10,13569,7254,6315,2092,1329,763,11477,5925,5552
122409,10,39241,16689,22552,33376,13949,19427,5865,2740,3125
122436,10,9110,3944,5166,7317,3098,4219,1793,846,947
122506,10,403,230,173,401,230,171,2,0,2
122597,10,23908,10549,13359,18716,8153,10563,5192,2396,2796
122612,10,9212,3242,5970,7297,2522,4775,1915,720,1195
122649,10,156,67,89,138,61,77,18,6,12
122658,10,18226,7447,10779,8074,3515,4559,10152,3932,6220
122685,10,2369,599,1770,2369,599,1770,,,
122694,10,820,265,555,820,265,555,,,
122728,10,1484,634,850,1027,424,603,457,210,247
122746,10,8400,3644,4756,1679,784,895,6721,2860,3861
122755,10,36062,17472,18590,26223,12951,13272,9839,4521,5318
122791,10,9208,4474,4734,2072,1125,947,7136,3349,3787
122889,10,12345,5608,6737,5222,2404,2818,7123,3204,3919
122931,10,9340,4644,4696,8070,4079,3991,1270,565,705
122977,10,23164,10381,12783,9464,4540,4924,13700,5841,7859
123013,10,16803,7582,9221,4911,2362,2549,11892,5220,6672
123095,10,1055,175,880,224,46,178,831,129,702
123165,10,1103,8,1095,1093,7,1086,10,1,9
123217,10,13586,5809,7777,5102,2396,2706,8484,3413,5071
123280,10,20,13,7,6,4,2,14,9,5
123299,10,8081,3318,4763,2966,1240,1726,5115,2078,3037
123341,10,17420,7927,9493,6346,3002,3344,11074,4925,6149
