,SUMLEV,COUNTY,NAME,POPESTIMATE2024
384,162,0,San Marino city,12105
385,162,0,San Mateo city,103006
386,162,0,San Pablo city,31562
387,162,0,San Rafael city,59961
388,162,0,San Ramon city,85924
389,162,0,Santa Ana city,316184
390,162,0,Santa Barbara city,87291
391,162,0,Santa Clara city,133132
392,162,0,Santa Clarita city,229159
393,162,0,Santa Cruz city,62581
394,162,0,Santa Fe Springs city,18683
395,162,0,Santa Maria city,111346
396,162,0,Santa Monica city,90729
397,162,0,Santa Paula city,31786
398,162,0,Santa Rosa city,177524
399,162,0,Santee city,59104
400,162,0,Saratoga city,30486
401,162,0,Sausalito city,7075
402,162,0,Scotts Valley city,11828
403,162,0,Seal Beach city,24421
404,162,0,Seaside city,31524
405,162,0,Sebastopol city,7388
406,162,0,Selma city,24505
407,162,0,Shafter city,22754
408,162,0,Shasta Lake city,10244
409,162,0,Sierra Madre city,10775
410,162,0,Signal Hill city,11279
411,162,0,Simi Valley city,125778
412,162,0,Solana Beach city,12868
413,162,0,Soledad city,26345
414,162,0,Solvang city,5988
415,162,0,Sonoma city,10606
416,162,0,Sonora city,4855
417,162,0,South El Monte city,19121
418,162,0,South Gate city,90805
419,162,0,South Lake Tahoe city,21225
420,162,0,South Pasadena city,25656
421,162,0,South San Francisco city,64660
422,162,0,Stanton city,41188
423,162,0,Stockton city,324975
424,162,0,Suisun City city,29614
425,162,0,Sunnyvale city,156792
426,162,0,Susanville city,12359
427,162,0,Sutter Creek city,2709
428,162,0,Taft city,6988
429,162,0,Tehachapi city,11114
430,162,0,Tehama city,436
431,162,0,Temecula city,112431
432,162,0,Temple City city,34989
433,162,0,Thousand Oaks city,124229
434,162,0,Tiburon town,8933
435,162,0,Torrance city,139576
436,162,0,Tracy city,100136
437,162,0,Trinidad city,321
438,162,0,Truckee town,17240
439,162,0,Tulare city,72601
440,162,0,Tulelake city,857
441,162,0,Turlock city,72888
442,162,0,Tustin city,78863
443,162,0,Twentynine Palms city,26563
444,162,0,Ukiah city,16067
445,162,0,Union City city,66196
446,162,0,Upland city,79684
447,162,0,Vacaville city,103994
448,162,0,Vallejo city,123475
449,162,0,Vernon city,211
450,162,0,Victorville city,140721
