,UNITID,EFLEVEL,EFTOTAL
951,149222,10,11359
952,149231,10,12045
953,149310,10,172
954,149329,10,88
955,149365,10,3873
956,149505,10,883
957,149514,10,852
958,149532,10,9262
959,149550,10,165
960,149639,10,340
961,149727,10,8324
962,149763,10,451
963,149772,10,7073
964,149781,10,2799
965,149842,10,13069
966,150066,10,1255
967,150136,10,20440
968,150145,10,1222
969,150163,10,5763
970,150172,10,674
971,150215,10,144
972,150251,10,191
973,150288,10,296
974,150303,10,317
975,150400,10,1819
976,150428,10,30
977,150455,10,696
978,150534,10,2109
979,150604,10,966
980,150668,10,824
981,150677,10,2271
982,150756,10,1157
983,150765,10,94
984,150774,10,547
985,150853,10,222
986,150941,10,1504
987,150987,10,100077
988,151102,10,8874
989,151111,10,25497
990,151263,10,5447
991,151290,10,2862
992,151306,10,9282
993,151324,10,8304
994,151333,10,2892
995,151342,10,4446
996,151351,10,47527
997,151360,10,3045
998,151379,10,3752
999,151388,10,2985
1000,151467,10,145
1001,151564,10,45
1002,151607,10,87
1003,151661,10,1004
1004,151777,10,1175
1005,151786,10,3586
1006,151801,10,2207
1007,151810,10,223
1008,151865,10,147
1009,151962,10,337
1010,152044,10,85
1011,152080,10,13174
1012,152099,10,650
1013,152150,10,71
1014,152275,10,114
1015,152309,10,101
1016,152318,10,2250
1017,152336,10,1852
1018,152381,10,1227
1019,152390,10,1518
1020,152451,10,191
1021,152497,10,131
1022,152530,10,2398
1023,152567,10,4471
1024,152600,10,2846
1025,152628,10,34
1026,152637,10,18438
1027,152673,10,845
1028,152798,10,489
1029,152992,10,940
1030,153001,10,1951
1031,153074,10,153
1032,153083,10,128
1033,153108,10,1095
1034,153126,10,1025
1035,153144,10,1278
1036,153162,10,1084
1037,153214,10,24418
1038,153241,10,61
1039,153250,10,1929
1040,153269,10,4504
1041,153278,10,1795
1042,153296,10,685
1043,153302,10,197
1044,153311,10,7128
1045,153320,10,586
1046,153366,10,1195
1047,153375,10,1796
1048,153384,10,1775
1049,153427,10,73
1050,153445,10,4796
1051,153463,10,27
1052,153472,10,3236
1053,153524,10,4909
1054,153533,10,2024
1055,153542,10,16
1056,153597,10,74
1057,153603,10,30177
1058,153630,10,5503
1059,153658,10,30042
1060,153737,10,12660
1061,153746,10,40
1062,153764,10,113
1063,153773,10,56
